TaxonID;Kännetecken;Namn;Latin
6010265;;Marskfj�dermott;Agdistis bennetii
216215;;Gr�svart fj�llfly;Lasionycta dovrensis
100146;En stor, 18–22 mm, enfärgat svart jordlöpare med relativt robust utseende och kraftiga ben. Täckvingarna är djupt längsfårade och halsskölden är påfallande bred och nästan kvadratisk, vilket ger djuret en parallellsidig kroppsform.;L�vskogsl�pare;Abax parallelepipedus
100147;;Albrunbagge;Abdera affinis
212363;;�;Abdera bifasciata
102146;;Bandad albrunbagge;Abdera flexuosa
209467;;�;Ablattaria laevigata
1;En ticka med ettåriga fruktkroppar som är starkt variabla. De kan vara oregelbundet och grunt trattformade, spatellika, oregelbundet knöliga eller ibland hopväxta till taktegellagda eller oformliga bildningar, på vertikala vedytor blir de närmast konsolformade. Hatten är 3–9 cm bred, och dess ovansida är mjukt till styvt hårig, ibland zonerad, först vitaktig till ljust beige, med åldern rödaktig, gulbrun till brun. Om fot finns är den av varierande form, 1–7 cm hög, central eller sidoställd. Porerna är tunnväggiga, oregelbundna, kantiga eller labyrintiska, först vitaktiga, med åldern (eller vid tryck) rodnande, slutligen brunaktiga. Köttet är segt, vitaktigt, i övre delen luckrare och mörkare. Arten är en sensommar- och höstsvamp.;Klumpticka;Abortiporus biennis
100149;En cirka 1,5 mm lång, klotrund, svart skalbagge. Den har små antenner där de tre sista lederna bildar en klubba. Främre skenbenen är tydligt utvidgade. Störs djuret fäller den in ben och antenner på undersidan av kroppen.;�;Abraeus granulum
100150;En 1,5 mm lång, klotrund, svartbrun skalbagge. Antennerna är små och de tre sista lederna bildar en tydlig klubba. De främre skenbenen är tydligt utvidgade. Täckvingarna är kraftigt punkterade. Stör man djuret fälls antenner och ben in på undersidan av djuret.;�;Abraeus parvulus
103788;;�;Abraeus perpusillus
206118;Börjar i silver och slutar i brons; så kan man sammanfatta braxens färgskiftning från ung individ fram till en rejäl, vuxen fisk på över halvmetern. Arten finns över större delen av landet. Totallängd 80 cm, vanligen 30-60 cm. Kropp högryggad och påtagligt sammanpressad från sidorna. Rygg jämnt rundad ned mot huvudet, mun nedåtriktad. Ögondiametern motsvarar ungefär noslängden hos små individer, men eftersom ögonen inte tillväxer i samma takt som resten av kroppen är den relativt sett avsevärt mindre hos större individer.Första gälbågen har vanligen 22-23 gälräfständer. Vardera svalgbenet har vanligen fem tänder som sitter i en enda rad. Fjällen är små och talrika. Stjärtfenan är inskuren med spetsiga lober. Analfenan är bred och har en ganska markerad, tillspetsad främre lob. Övriga fenor är spetsiga, och ryggfenan är påfallande hög. Bröstfenorna når fram till bukfenornas bas. Unga individer är silverblanka på sidorna (ibland med en svag antydan till guldton), gråbruna på ryggen och silvrigt vita på buken. Fenorna är jämnt gråbruna eller gråsvarta. Med ökande storlek mörknar färgen till guldbruna (närmast bronsglänsande) kroppssidor, brun rygg och gulgrå buk. Inför leken får vuxna hanar lekvårtor på huvudet och ibland på ryggen. Unga individer av braxen och björkna kan vara svåra att skilja åt, eftersom skillnaden i ögonstorlek knappt är skönjbar hos mindre individer av dessa två arter. Med ökande kroppsstorlek blir dock skillnaden alltmer påtaglig eftersom ögat hos braxen proportionellt sett blir allt mindre, medan ungfiskens proportioner i det närmaste bibehålls hos större björknor.Fenstrålar och fjäll: D iii.8-9, A iii.25-27, P i.16-18, V i.7-8. Fjäll längs sidan 51-60, mellan ryggfenan och sidolinjen 11-14 fjällrader.;Braxen;Abramis brama
215543;;Krusb�rsm�tare;Abraxas grossulariata
215544;;Almfl�ckm�tare;Abraxas sylvata
215957;;Tulk�rtsfly;Abrostola asclepiadis
215956;;Gr�nvitt n�sselfly;Abrostola tripartita
100151;;Brungult n�sselfly;Abrostola triplasia
100152;En 2,5–3 mm lång vivel med kort, klumpig och starkt välvd kropp. Brun eller brunsvart, översidan försedd med knölar och utstående borst och en fläckvis tätare, gul fjällbeklädnad.;�;Acalles camelus
106462;;�;Acalles echinatus
106463;;�;Acalles fallax
213487;En 2,5–3 mm lång vivel med kort, klumpig och starkt välvd kropp. Brun eller brunsvart, översidan försedd med knölar och utstående borst och en fläckvis tätare, gul fjällbeklädnad. Arten är svårbestämd, och bestämningen bör kontrolleras av en specialist.;�;Acalles misellus
100154;En 2–3 mm lång vivel med kort, klumpig och starkt välvd kropp. Brun eller brunsvart, översidan försedd med en fläckvis tätare, gul fjällbeklädnad. Arten är svårbestämd, och bestämningen bör kontrolleras av en specialist.;�;Acalles ptinoides
257383;;�;Acallomyces homalotae
106370;;�;Acalyptus carpini
106371;;�;Acalyptus sericeus
103046;;Gr�siska;Acanthis flammea
253680;;�;Acanthobasidium norvegicum
105944;;St�rre timmerman;Acanthocinus aedilis
100155;En påfallande långsmal och platt skalbagge som blir 12–14 mm lång. Honan är försedd med ett långt äggläggningsrör. Antennerna är mycket långa, hos hanen blir de två gånger längre än resten av kroppen. Färgen är svart med en tät grå behåring som på täckvingarna bildar två tvärband.;Mindre timmerman;Acanthocinus griseus
212519;;�;Acanthocinus reticulatus
206166;En brun, långsträckt läppfisk som uppehåller sig djupt ned i Västerhavet och har delvis fjällklädda fenor, en mörk fläck baktill på ryggfenan och ytterligare en upptill på stjärtfenan.Totallängd 30 cm. Kropp påfallande långsträckt med avlångt huvud samt en lång och smal nos där överkäken är aningen längre än underkäken. Tänderna är koniska, de större aningen bakåtböjda i spetsen. I båda käkarna finns en yttre tandrad med 16-36 tänder, i vilken tänderna ökar i längd framtill i käken, samt en inre oregelbunden rad med korta tänder. I överkäkens ytterrad sitter fyra särskilt stora tänder intill käkspetsen. I underkäkens ytterrad sitter två mycket korta tänder vid käkspetsen, flankerade av varsin särskilt stor tand. Förgällocksbenen är fint sågtandade.Ryggfenan består av en bred, taggstrålig främre del och en smal, mjukstrålig bakre del. Den första taggstrålen är mycket kort. Resten av taggstrålarna är ungefär liklånga, mjukstrålarna aningen längre utom de två sista som är kortare. Analfenan består av en smal taggstrålig del och en något bredare mjukstrålig del. Bröstfenorna är kortare än huvudet och har rundad kant. De likaledes korta bukfenorna fäster under bröstfenbaserna och är rundade. Stjärtfenan har en rak bakkant med rundade hörn. Fjällen är i grunden rundfjäll med en rundad bakkant, men på flertalet fjäll har bakkanten dessutom en trubbig udd. Rygg- och analfenorna har tjocka fjälltäcken intill baserna, och större delen av stjärtfenan täcks av fjäll mellan fenstrålarna. Bröstfenorna är fjälliga vid basen, men bukfenorna saknar fjäll. Sidolinjen löper relativt rakt under den taggstråliga delen av ryggfenan, varefter den svänger brant nedåt och fortsätter rakt längs mitten av stjärtspolen och ut på stjärtfenan. Fjällen fortsätter långt fram på huvudet, till området mellan ögonen. På kinden finns 4-7 rader fjäll. Kroppen och fenorna är ljusare eller mörkare bruna med en dragning åt rödbrunt. Längs ryggen, mellan området strax framför ryggfenans början och sidolinjen, sitter fem gula eller gulvita fläckar (den främre ibland otydlig). Ytterligare två ljusa fläckar sitter på översidan av stjärtspolen. En svart fläck finns på de bakre taggstrålarna och främre mjukstrålarna i ryggfenan samt upptill på basen av stjärtfenan och på undersidan av stjärtspolen. Undersidan av kroppen och huvudet, liksom analfenan och bukfenorna, är vitaktiga. Ryggfenan och stjärtfenan har en svagt gråaktig eller gulaktig grundfärg. Inga yttre könsskillnader är kända.Fenstrålar och fjäll: D XIX-XXI.7-10, A IV-VI.5-8, P 14, V I.5. Fjäll längs sidan 39-45.;Brunsnultra;Acantholabrus palloni
2905;;Borstig b�garg�mming;Acanthonitschkea tristis
233038;;�;Acanthophiobolus helicosporus
1961;Druvskinn är ett vackert blått skinn som är lätt att känna igen redan i fält. Det bildar utbredda fruktkroppar med fast och tät konsistens. Unga fruktkroppar är ofta gulaktiga med blåaktiga fläckar men med ålder tar den blågrå till mörkblå färgen överhanden. Fruktkroppens ytskikt (hymeniet) innehåller rikligt med acanthophyser. Dessa är sterila celler med en mängd utskott i toppen, ungefär som en flaskborste. Samma typ av organ finns hos de flesta arterna i släktet Aleurodiscus. Druvskinn har också gloeocystider som färgas violetta med sulfovanillin-lösning. Sporerna är släta och sporväggen färgas blå i Melzers lösning. Arten kan likna indigoskinn (Terana caerulea) men förväxlas knappast med denna eller andra arter vid en mikroskopisk undersökning.;Druvskinn;Acanthophysellum lividocoeruleum
2966;;�;Acanthophysium cerussatum
253683;;�;Acanthophysium fennicum
214007;;Ljungs�ckspinnare;Acanthopsyche atra
105964;;B�nbagge;Acanthoscelides obtectus
100156;Trolldruvelobmätare ger ett första intryck av gammaldags svartvitt fotografi. Framvingen är gråaktig med mörkare pudring och mjukt avrundad vingspets. Mellanlinjen och ytterligare en till två parallella linjer i yttre mellanfältet är mörkt brunaktiga med svarta punkter på vingribborna. Vingfransarna är skäckiga i mörkare och ljusare nyanser av gråbrunt. De brungrå bakvingarna har en mycket liten mörk mittfläck. Vingspann 21–26 mm.;Trolldruvelobm�tare;Acasis appensata
215869;;Gr�n lobm�tare;Acasis viretata
266812;;Balkanh�k;Accipiter brevipes
100001;Betydligt större än den annars snarlika sparvhöken, men hanar av duvhök närmare sig honor av sparvhök i storlek. Storleken och formen är oftast använt för att skilja dem åt.;Duvh�k;Accipiter gentilis
102941;;Sparvh�k;Accipiter nisus
215444;;Vattenmott;Acentria ephemerella
